"date","close","volume","open","high","low"
"2018/06/08","360.5700","5222873.0000","358.0600","362.3900","356.2500"
"2018/06/07","361.4000","8260323.0000","368.5400","368.7000","357.8000"
"2018/06/06","367.4500","7700033.0000","367.7848","369.6799","363.3300"
"2018/06/05","365.8000","8346886.0000","363.3200","369.8300","361.4124"
"2018/06/04","361.8100","7662865.0000","362.6850","363.0000","355.5100"
"2018/06/01","359.9300","7102421.0000","353.8800","359.9900","352.8200"
"2018/05/31","351.6000","6906813.0000","353.8000","355.5300","350.2100"
"2018/05/30","353.5400","5658169.0000","352.3700","354.0000","349.2600"
"2018/05/29","349.7300","9700413.0000","351.5000","356.1000","346.7100"
"2018/05/25","351.2900","7801602.0000","349.9000","354.3600","348.8300"
"2018/05/24","349.2900","14493130.0000","344.3400","354.0000","341.1200"
"2018/05/23","344.7200","10021210.0000","329.0400","345.0000","328.0900"
"2018/05/22","331.6200","5916643.0000","334.0500","336.6300","331.1500"
"2018/05/21","331.8200","6596446.0000","327.1100","331.8800","325.4500"
"2018/05/18","324.1800","3574961.0000","324.9000","326.4200","322.8000"
"2018/05/17","325.2200","4927856.0000","327.5300","330.4500","323.1734"
"2018/05/16","328.1900","3664326.0000","326.2800","329.7200","325.1400"
"2018/05/15","326.1300","4739263.0000","325.9400","326.9400","322.4340"
"2018/05/14","328.5300","4086250.0000","327.2500","330.5038","327.0400"
"2018/05/11","326.4600","4584430.0000","329.6500","331.2600","324.8700"
"2018/05/10","329.6000","5232784.0000","331.5000","332.0550","327.3438"
"2018/05/09","330.3000","5623407.0000","328.7900","331.9500","327.5100"
"2018/05/08","326.8900","4694953.0000","325.9000","327.3480","323.0500"
"2018/05/07","326.2600","7121198.0000","321.9947","329.0234","319.3400"
"2018/05/04","320.0900","8204203.0000","308.7100","320.9800","307.6700"
"2018/05/03","311.6900","6037386.0000","312.5900","312.5900","305.7300"
"2018/05/02","313.3600","5577613.0000","311.6500","317.1000","310.4034"
"2018/05/01","313.3000","6014838.0000","310.3600","313.4800","306.6900"
"2018/04/30","312.4600","6066764.0000","311.0700","317.8800","310.1180"
"2018/04/27","311.7600","7070118.0000","316.2500","317.4500","306.5000"
"2018/04/26","313.9800","9223707.0000","310.0000","316.6300","305.5800"
"2018/04/25","305.7600","14763940.0000","306.3700","309.9800","292.6150"
"2018/04/24","307.0200","13873450.0000","319.2170","320.2490","302.3100"
